<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
210129,000000,216.7500000,216.7500000,212.4700000,212.8300000,66744580
210201,000000,214.6100000,214.8700000,212.2400000,214.6600000,39314420
210202,000000,215.5000000,219.7400000,213.2500000,214.4200000,77924880
210203,000000,215.4100000,218.4200000,213.7900000,218.1000000,45974890
210204,000000,218.7100000,221.4000000,216.8800000,219.7900000,47881150
210205,000000,220.6800000,222.2100000,219.0000000,222.0100000,42127830
210208,000000,223.0600000,228.0000000,223.0000000,228.0000000,67144040
210209,000000,229.0000000,229.4900000,225.8000000,227.7300000,60518190
210210,000000,227.9800000,228.2900000,221.8000000,223.2400000,41883700
210211,000000,223.4500000,223.6700000,220.7300000,221.3500000,34480880
210212,000000,220.7800000,227.4700000,216.7700000,226.7100000,69179250
210215,000000,228.4900000,230.0000000,226.7000000,229.2200000,59793600
210216,000000,229.9500000,233.2200000,227.5700000,232.4600000,85667580
210217,000000,232.3200000,233.3500000,225.3300000,229.1400000,64532970
210218,000000,228.9800000,228.9800000,224.0100000,224.4700000,43762150
210219,000000,224.0200000,226.2600000,221.1000000,226.0000000,44854360
210220,000000,226.3500000,227.1000000,225.0000000,225.8400000,6053880
210222,000000,226.4900000,227.3000000,223.0400000,225.6300000,31412770
210224,000000,224.4200000,225.6400000,220.8500000,222.5500000,40792480
210225,000000,223.4700000,225.5000000,221.2200000,221.7000000,42722110
210226,000000,220.5600000,221.6800000,217.2000000,217.5600000,63735100
210301,000000,219.3400000,222.0100000,218.2500000,221.4700000,28373590
210302,000000,220.0000000,224.1100000,219.7600000,222.7400000,34140160
210303,000000,224.2000000,226.7900000,221.7000000,222.1500000,33225100
210304,000000,221.8800000,226.6900000,219.5000000,221.1400000,46417010
210305,000000,222.0500000,228.4200000,220.0200000,227.0000000,55786000
210309,000000,227.5100000,233.0700000,226.0500000,232.1000000,73759850
210310,000000,231.8300000,235.5000000,230.6600000,231.6900000,55372950
210311,000000,232.8300000,233.5300000,230.0700000,232.4700000,32131810
210312,000000,232.0100000,234.3900000,230.6000000,233.8000000,28819550
210315,000000,234.9800000,238.0900000,234.4600000,237.7900000,46121290
210316,000000,237.3000000,238.2300000,233.8000000,234.0200000,38029020
210317,000000,234.0000000,234.5600000,227.2100000,229.9000000,62072590
210318,000000,230.0500000,231.7900000,223.7000000,224.3500000,67581990
210319,000000,223.0500000,226.6400000,222.3700000,225.4000000,58484100
210322,000000,225.1400000,225.3400000,220.7900000,221.8800000,58491290
210323,000000,221.3500000,224.4400000,219.8100000,221.6200000,43094210
210324,000000,222.3900000,225.4500000,220.5300000,223.6500000,36700010
210325,000000,224.2000000,225.3800000,222.7000000,224.8400000,29735720
210326,000000,225.7400000,227.6000000,225.1300000,227.3000000,26672930
210329,000000,226.7900000,229.1500000,226.3100000,228.7400000,23752090
210330,000000,228.9500000,230.1000000,225.0400000,225.9300000,26818410
210331,000000,226.4000000,228.4000000,223.3200000,227.2400000,38847380
210401,000000,228.4300000,231.6700000,225.7500000,226.9400000,43823600
210402,000000,227.0000000,229.2000000,226.5400000,228.4000000,12621010
210405,000000,227.9000000,227.9200000,224.1300000,225.0600000,23919530
210406,000000,226.0100000,226.5500000,221.9100000,222.9500000,36223380
210407,000000,222.3100000,226.0100000,220.6800000,224.5100000,29483660
210408,000000,224.8400000,226.3000000,222.8800000,224.3000000,19420190
210409,000000,224.1700000,224.3000000,221.4800000,222.1500000,20902100
210412,000000,220.9500000,224.2500000,219.6000000,222.8700000,29206290
210413,000000,223.0200000,228.3300000,221.1000000,227.9900000,39063400
210414,000000,230.5800000,236.5800000,229.3100000,235.3200000,91895500
210415,000000,230.1000000,236.3900000,228.2300000,234.6300000,62531120
210416,000000,235.4900000,237.4500000,232.7000000,235.1000000,46181390
210419,000000,234.7400000,234.9000000,230.2800000,231.1700000,39712830
210420,000000,231.5800000,233.1700000,229.0000000,230.0000000,43916060
210421,000000,229.9300000,231.8000000,228.3700000,230.8400000,35493950
210422,000000,230.6800000,232.1500000,227.1400000,230.9300000,60338620
210423,000000,231.3000000,233.3000000,230.0000000,232.6200000,35447230
210426,000000,233.0200000,234.9100000,232.1600000,233.2300000,28695180
210427,000000,233.5000000,235.1400000,231.2100000,232.0000000,29275690
210428,000000,232.5500000,233.2400000,230.2000000,232.9600000,37443310
210429,000000,234.0800000,236.1800000,229.0000000,230.5100000,55599370
210430,000000,230.1100000,231.6000000,228.8600000,231.3800000,32069550
210504,000000,232.2000000,234.3000000,230.9600000,233.8000000,37916850
210505,000000,234.2100000,237.7700000,233.6900000,237.5000000,38141220
